ip,isp,city,countrycode,latitude,longitude
45.49.237.241,Time Warner Cable,Los Angeles,US,34.0863,-118.4896
95.70.28.154,Rostelecom,Khabarovsk,RU,48.4808,135.0928
68.60.225.147,Comcast Cable,Kokomo,US,40.5286,-86.1675
70.171.84.76,Cox Communications,Metairie,US,29.9838,-90.1683
167.206.233.170,Optimum Online,Bridgewater,US,40.5953,-74.6173
178.64.156.20,Rostelecom,Vologda,RU,59.2167,39.9
217.43.190.245,BT,,GB,51.5,-0.13
209.189.130.143,CenturyLink,Albuquerque,US,35.0441,-106.8904
66.249.92.80,Google,Mountain View,US,37.4192,-122.0574
50.81.129.136,Mediacom Cable,Mahomet,US,40.2149,-88.4046
175.42.93.47,China Unicom Liaoning,Putian,CN,24.9878,118.4983
50.19.77.41,Amazon.com,Ashburn,US,39.018,-77.539
46.254.201.118,Welsh Assembly Government,Brecon,GB,51.95,-3.3833
76.84.105.166,Time Warner Cable,Fremont,US,41.4803,-96.4728
74.92.99.205,Comcast Business Communications,Langhorne,US,40.1804,-74.893
41.141.223.211,Maroc Telecom,Marrakesh,MA,31.6315,-8.0083
99.229.140.64,Rogers Cable,Mississauga,CA,43.5637,-79.7202
76.100.105.146,Comcast Cable,Westminster,US,39.5512,-76.9947
24.166.102.7,Time Warner Cable,Girard,US,41.9703,-80.3125
108.252.86.178,AT&T U-verse,Chicago,US,41.8194,-87.6079
200.186.180.62,Global Crossing ComunicaÃ§Ãµes Do Brasil Ltda.,Curitiba,BR,-25.4167,-49.25
75.67.82.213,Comcast Cable,Grantham,US,43.5125,-72.1517
81.109.5.213,Virgin Media,Glasgow,GB,55.7799,-4.2771
64.233.173.1,Google,,,35,105
119.225.221.154,Optus,City of Parramatta,AU,-33.8167,151
68.51.36.27,Comcast Cable,Fishers,US,39.9556,-86.0139
84.106.16.31,Ziggo,Enkhuizen,NL,52.7033,5.2917
75.120.194.232,CenturyLink,Olive Branch,US,34.918,-89.8216
206.246.197.250,NetTelcos,Newport News,US,37.0736,-76.4936
54.90.180.32,Amazon Technologies,Ashburn,US,39.018,-77.539
108.185.107.9,Time Warner Cable,Studio City,US,34.1379,-118.3919
202.28.86.162,Uninet-th,Bangkok,TH,13.8667,100.6
93.233.124.246,Deutsche Telekom AG,Munich,DE,48.1223,11.6205
119.245.226.77,NTT PC Communications,Yokohama,JP,35.4478,139.6425
67.198.93.211,Grande Communications,Waco,US,31.6213,-97.2101
119.245.226.74,NTT PC Communications,Yokohama,JP,35.4478,139.6425
176.34.147.100,Amazon Data Services Ireland,Dublin,IE,53.3331,-6.2489
60.48.230.19,TM Net,Masai,MY,1.5558,103.7616
74.190.212.129,AT&T Internet Services,Alpharetta,US,34.133,-84.3005
65.92.114.10,Bell Canada,Orleans,CA,45.4697,-75.4715
207.61.101.2,Bell Canada,Brockville,CA,44.7118,-75.7498
212.250.19.254,Virgin Media,Rotherham,GB,53.4044,-1.3465
203.104.11.76,QLD Government Business (IT),Annerley,AU,-27.5123,153.0325
195.184.106.232,TeliaSonera AB,Copenhagen,DK,55.6759,12.5655
173.58.202.159,Verizon Fios,Murrieta,US,33.5789,-117.1412
67.58.38.246,The Regents of the University of California - Univ,La Jolla,US,32.8807,-117.2359
217.218.167.8,Information Technology Company (ITC),,IR,35.6961,51.4231
50.44.125.156,Frontier Communications,Bloomington,US,40.4661,-88.9034
89.207.214.14,Jisc Services Limited,,GB,51.5,-0.13
85.133.171.103,Sepanta Communication Development Co.,,IR,35.6961,51.4231
119.29.116.149,Tencent cloud computing,Beijing,CN,39.9289,116.3883
202.159.131.195,iiNet Limited,Chippendale,AU,-33.8867,151.1975
175.194.158.136,Korea Telecom,,KR,37.57,126.98
96.247.96.253,Verizon Fios,Murrieta,US,33.5789,-117.1412
216.164.14.235,RCN,Whitehall Township,US,40.6571,-75.503
113.23.137.124,Extreme Broadband Sdn. Bhd.,Miri,MY,4.3331,113.9949
191.54.114.35,Algar Telecom,Sao Joaquim da Barra,BR,-20.5833,-47.8833
70.170.14.230,Cox Communications,North Las Vegas,US,36.2729,-115.1333
74.133.149.196,Time Warner Cable,Bowling Green,US,37.0941,-86.4286
208.65.144.249,MX Logic,Englewood,US,39.569,-104.8582
59.167.36.65,iiNet Limited,Melbourne,AU,-37.8139,144.9634
63.153.250.146,CenturyLink,Des Moines,US,41.5833,-93.4973
184.145.27.82,Bell Canada,Ottawa,CA,45.4167,-75.7
201.174.34.178,"IP Matrix, S.A. de C.V.",Colonia Benito Juarez,MX,28.2167,-105.3167
135.23.73.41,TekSavvy Solutions,Scarborough,CA,43.7678,-79.1866
205.174.117.254,Spotsylvania County School Board,Fredericksburg,US,38.2724,-77.5932
72.211.210.99,Cox Communications,Irvine,US,33.6378,-117.8095
50.34.128.211,Frontier Communications,Coupeville,US,48.1855,-122.668
109.122.79.132,Radijus Vektor Doo,Odzaci,RS,45.5067,19.2611
23.23.54.163,Amazon.com,Ashburn,US,39.018,-77.539
63.229.166.110,CenturyLink,Santa Fe,US,35.6318,-105.8789
50.204.8.129,Comcast Cable,Houston,US,29.6807,-95.4311
121.114.162.74,Open Computer Network,Atsugi,JP,35.4389,139.3597
12.89.211.170,AT&T Services,Ocean Springs,US,30.5736,-88.7441
76.115.152.242,Comcast Cable,McMinnville,US,45.1949,-123.2466
75.42.212.216,AT&T Internet Services,Columbus,US,39.9653,-83.0235
202.239.71.54,NTT PC Communications,Tokyo,JP,35.685,139.7514
64.183.73.130,Time Warner Cable,Beverly Hills,US,34.0607,-118.4032
85.187.47.78,IPACCT,,BG,42.7,23.3333
60.52.121.148,TM Net,Johor Bahru,MY,1.5388,103.7012
216.73.64.6,MERLIN,Winnipeg,CA,49.8966,-97.2404
89.228.115.47,Multimedia Polska S.A.,IÅawa,PL,53.6,19.5667
173.191.163.118,Windstream Communications,Leeds,US,33.5147,-86.5532
152.26.228.32,North Carolina Research and Education Network,Fayetteville,US,35.057,-79.0147
68.10.120.174,Cox Communications,Virginia Beach,US,36.8463,-76.0979
24.186.223.239,Optimum Online,Elmont,US,40.7021,-73.7062
110.74.223.9,EZECOM limited,Phumi Siem Reab,KH,11.3996,104.8639
64.113.191.43,Metropolitan Educational Council,Pickerington,US,39.898,-82.7459
84.190.108.104,Deutsche Telekom AG,Hundisburg,DE,52.25,11.4
152.26.228.38,North Carolina Research and Education Network,Fayetteville,US,35.057,-79.0147
144.214.111.126,City University of Hong Kong,Central District,HK,22.2833,114.15
72.181.229.48,Time Warner Cable,Dallas,US,32.6971,-96.6857
76.168.192.242,Time Warner Cable,Los Angeles,US,34.1125,-118.1908
73.73.200.200,Comcast Cable,Aurora,US,41.759,-88.2615
50.16.21.14,Amazon.com,Ashburn,US,39.018,-77.539
65.95.187.114,Bell Canada,Toronto,CA,43.6512,-79.4828
73.246.57.209,Comcast Cable,Evanston,US,42.0302,-87.6878
130.211.187.218,Google Cloud,New Orleans,US,29.9578,-90.0769
152.26.53.130,North Carolina Research and Education Network,Stony Point,US,35.8405,-81.0635
108.3.191.38,Verizon Fios,Owings Mills,US,39.437,-76.7818
65.129.200.239,CenturyLink,Tucson,US,32.5462,-110.952
124.188.224.20,Telstra Internet,Hawthorn,AU,-37.8333,145.0333
98.174.243.83,Cox Communications,Chandler,US,33.3201,-111.8739
186.103.155.12,Telefonica Empresas,Santiago,CL,-33.45,-70.6667
80.191.55.24,Information Technology Company (ITC),,IR,35.6961,51.4231
77.251.104.35,Chello,Amsterdam,NL,52.3666,4.9027
173.56.79.189,Verizon Fios,White Plains,US,41.034,-73.7629
194.199.117.103,Commissariat a l'Energie Atomique,Villeurbanne,FR,45.7667,4.8833
174.129.128.154,Amazon.com,Ashburn,US,39.018,-77.539
178.25.102.247,Vodafone Kabel Deutschland,Taufkirchen,DE,48.35,12.0833
78.57.221.102,TEO LT,KlaipÄda,LT,55.7172,21.1175
14.139.82.6,NKN Core Network,Hyderabad,IN,17.3753,78.4744
173.218.220.140,Suddenlink Communications,Parkersburg,US,39.243,-81.5772
123.125.19.44,China Unicom Beijing,Beijing,CN,39.9289,116.3883
128.65.153.252,"Comunicaciones Ronda, S.l.",Ronda,ES,36.7423,-5.1671
187.209.10.236,Telmex,Heroica Matamoros,MX,25.8833,-97.5
79.182.140.180,Bezeq International,Tel Aviv,IL,32.0667,34.7667
93.156.120.86,"Telecable de Asturias,SA",GijÃ³n,ES,43.5357,-5.6615
108.50.162.143,Verizon Fios,Bloomfield,US,40.8086,-74.1869
80.150.104.59,Deutsche Telekom AG,Oberursel,DE,50.1973,8.5893
188.143.234.127,Petersburg Internet Network,Saint Petersburg,RU,59.8944,30.2642
216.48.138.133,Southwest Ohio Computer Association,Hamilton,US,39.4285,-84.6487
216.48.138.132,Southwest Ohio Computer Association,Hamilton,US,39.4285,-84.6487
212.219.142.161,Jisc Services Limited,Alton,GB,52.9667,-1.8833
24.184.107.178,Optimum Online,Brooklyn,US,40.6449,-73.9583
174.30.105.234,CenturyLink,Des Moines,US,41.6014,-93.6829
50.34.145.184,Frontier Communications,Coupeville,US,48.1855,-122.668
69.117.40.131,Optimum Online,Haworth,US,40.9631,-74.0006
64.88.19.20,Macomb Intermediate School District,Sterling Heights,US,42.5988,-83.0104
110.4.24.177,CSL Mobile,,HK,22.25,114.1667
74.4.141.96,CenturyLink,Las Vegas,US,36.2143,-115.2131
14.202.141.209,TPG Internet,Sunnybank,AU,-27.5649,153.0665
212.173.124.98,RM Education plc,Penzance,GB,50.1136,-5.5478
66.189.59.36,Charter Communications,Northbridge,US,42.1358,-71.6431
206.221.158.110,Champaign Telephone Company,Champaign,US,40.1144,-88.2813
200.52.75.130,"Megacable Comunicaciones de Mexico, S.A. de C.V.",Benito Juarez,MX,19.385,-99.165
72.44.61.178,Amazon.com,Ashburn,US,39.018,-77.539
76.69.103.6,Bell Canada,Markham,CA,43.8479,-79.3288
111.207.203.195,China Unicom Beijing,Beijing,CN,39.9289,116.3883
50.83.132.111,Mediacom Cable,Cedar Rapids,US,42.0245,-91.662
68.41.241.217,Comcast Cable,Warren,US,42.4736,-82.9968
68.10.67.195,Cox Communications,Virginia Beach,US,36.6753,-75.9161
71.234.170.55,Comcast Cable,Burlington,US,44.4929,-73.2253
198.163.47.9,City of Winnipeg,Winnipeg,CA,49.867,-97.1356
194.168.123.218,Virgin Media,Nottingham,GB,52.9536,-1.1505
76.171.151.65,Time Warner Cable,Orange,US,33.8138,-117.7986
82.35.104.68,Virgin Media,Liverpool,GB,53.4481,-2.9155
63.131.208.167,Frankfort Plant Board,Frankfort,US,38.2357,-84.9592
68.45.4.157,Comcast Cable,Bloomington,US,39.2499,-86.4555
194.225.166.111,Research Center of Theoretical Physics & Mathemati,,IR,35.6961,51.4231
174.59.222.150,Comcast Cable,State College,US,40.7849,-77.847
178.206.42.199,Ojsc Oao Tattelecom,Bibayevo,RU,55.0038,50.0549
23.28.79.182,WideOpenWest,Canton,US,42.2856,-83.4858
173.21.155.170,Mediacom Cable,Des Moines,US,41.5788,-93.6801
75.120.199.62,CenturyLink,Olive Branch,US,34.918,-89.8216
90.40.106.201,Orange,Strasbourg,FR,48.5839,7.7455
206.131.134.51,TIES,Rochester,US,44.0715,-92.5279
180.191.69.5,Globe Telecom,,PH,14.5833,120.9667
203.116.39.206,StarHub Internet,Singapore,SG,1.2931,103.8558
88.159.13.137,Edutel B.V.,Eindhoven,NL,51.4408,5.4778
66.154.148.31,Northwest Regional ESD,Saint Helens,US,45.8871,-122.9283
82.45.151.226,Virgin Media,London,GB,51.5144,-0.0941
108.61.209.73,"Choopa, LLC",Paris,FR,48.8667,2.3333
67.87.188.125,Optimum Online,The Bronx,US,40.8529,-73.9139
116.30.201.130,China Telecom,Shenzhen,CN,22.5333,114.1333
178.131.3.204,Mobin Net Communication Company (Private Joint Sto,,IR,35.6961,51.4231
98.215.48.244,Comcast Cable,Normal,US,40.5282,-88.9801
86.182.34.191,BT,Margate,GB,51.3833,1.4167
41.99.55.202,Telecom Algeria,Ouargla,DZ,31.9575,5.3278
129.49.11.145,SUNY at Stony Brook,Stony Brook,US,40.9064,-73.1319
84.57.61.42,Vodafone DSL,Munich,DE,48.1204,11.5001
71.170.3.166,Verizon Fios,Irving,US,32.85,-96.9613
76.103.140.179,Comcast Cable,San Jose,US,37.3744,-121.7582
207.28.167.1,Iowa Communications Network,Waverly,US,42.7804,-92.4363
121.54.54.134,Smart Broadband,Caloocan,PH,14.6333,121.05
173.167.93.81,Comcast Business Communications,Irvington,US,40.726,-74.2332
67.1.231.231,CenturyLink,Tucson,US,32.2132,-110.8873
186.104.250.132,Movistar Chile,Santiago,CL,-33.45,-70.6667
198.17.110.33,Glenbrook High School District,Northbrook,US,42.1197,-87.8445
187.202.118.152,Telmex,TehuacÃ¡n,MX,18.45,-97.3833
75.184.36.229,Time Warner Cable,Southern Pines,US,35.1752,-79.3834
207.255.151.130,Atlantic Broadband,Curwensville,US,40.9347,-78.5867
75.73.47.36,Comcast Cable,Minneapolis,US,44.9493,-93.3363
68.184.254.148,Charter Communications,City of Saint Peters,US,38.8022,-90.627
65.191.243.3,Time Warner Cable,Fayetteville,US,34.9339,-78.8226
203.100.4.132,UQConnect,Brisbane,AU,-27.471,153.0243
111.240.29.32,HiNet,Taipei,TW,25.0392,121.525
188.26.221.21,RCS & RDS,Bucharest,RO,44.4186,26.0622
24.30.100.189,Comcast Cable,Decatur,US,33.7708,-84.293
204.52.179.199,Blue Valley Usd No 229,Overland Park,US,38.8628,-94.7004
174.129.180.155,Amazon.com,Ashburn,US,39.018,-77.539
75.161.86.150,CenturyLink,Rio Rancho,US,35.3275,-106.7177
213.4.215.231,Telefonica De Espana,Ali,ES,42.8548,-2.7017
138.75.199.243,MobileOne,Singapore,SG,1.2931,103.8558
71.198.24.63,Comcast Cable,Sunnyvale,US,37.3537,-122.0307
54.234.102.160,Amazon Technologies,Ashburn,US,39.018,-77.539
220.245.79.163,TPG Internet,Forestville,AU,-33.7667,151.2083
184.72.78.18,Amazon.com,Ashburn,US,39.018,-77.539
213.89.193.249,Com Hem AB,Bromma,SE,59.35,17.9167
221.178.182.77,China Mobile Guangdong,Wuxi,CN,31.5689,120.2886
204.113.97.191,Utah Education Network,American Fork,US,40.393,-111.7838
61.187.179.67,China Telecom,Hengyang,CN,26.8881,112.615
71.182.141.114,Verizon Fios,Pittsburgh,US,40.4345,-79.8661
174.131.186.108,Windstream Communications,Ashville,US,33.7856,-86.2208
202.0.115.4,34 Egatoor Kelambakkam,,IN,20,77
24.4.25.243,Comcast Cable,San Ramon,US,37.7799,-121.978
108.199.186.72,AT&T U-verse,Florissant,US,38.8125,-90.3501
119.247.15.154,Hong Kong Broadband Network,Central District,HK,22.2833,114.15
98.16.97.134,Windstream Communications,Bryant,US,34.6008,-92.4911
79.159.140.63,Telefonica De Espana,Madrid,ES,40.4165,-3.7026
189.5.117.94,NET Virtua,GoiÃ¢nia,BR,-16.6667,-49.2667
86.127.150.123,RCS & RDS,Bucharest,RO,44.4186,26.0622
78.70.254.228,TeliaSonera AB,Uddevalla,SE,58.3667,11.9333
178.199.40.190,Swisscom (Schweiz) AG,Bolligen,CH,46.9841,7.5083
80.191.248.35,Information Technology Company (ITC),Gorgan,IR,36.8387,54.4347
31.58.127.30,Aria Shatel Company,,IR,35.6961,51.4231
50.29.147.244,PenTeleData,Tobyhanna,US,41.188,-75.3804
212.203.82.156,COLT Technology Services Group Limited,Geneva,CH,46.2058,6.1619
212.203.82.157,COLT Technology Services Group Limited,Geneva,CH,46.2058,6.1619
212.203.82.154,COLT Technology Services Group Limited,Geneva,CH,46.2058,6.1619
212.203.82.155,COLT Technology Services Group Limited,Geneva,CH,46.2058,6.1619
212.203.82.152,COLT Technology Services Group Limited,Geneva,CH,46.2058,6.1619
69.84.207.147,Arrival Communication,Bakersfield,US,35.3339,-119.0226
98.164.94.222,Cox Communications,New Orleans,US,29.9736,-90.0857
81.168.2.162,Kcom Group Plc,London,GB,51.5868,-0.0204
213.106.173.243,Virgin Media,Harrow,GB,51.5783,-0.3321
194.187.168.26,Qwant SAS,,FR,48.86,2.35
75.120.212.87,CenturyLink,Olive Branch,US,34.918,-89.8216
202.142.141.146,"Wideband Networks Pty Ltd, Transit",Traralgon,AU,-38.1953,146.5415
82.216.169.112,Numericable,Montigny-lÃ¨s-Metz,FR,49.0944,6.1517
69.118.150.173,Optimum Online,Watertown,US,41.6152,-73.1154
75.161.231.109,CenturyLink,Minneapolis,US,45.0159,-93.4719
36.248.160.243,China Unicom Liaoning,Putian,CN,24.9878,118.4983
75.120.192.67,CenturyLink,Olive Branch,US,34.918,-89.8216
209.203.140.42,FastTrack Communications,Durango,US,37.4509,-107.8488
98.213.97.77,Comcast Cable,Zion,US,42.4563,-87.8704
24.99.231.164,Comcast Cable,Alpharetta,US,34.133,-84.3005
173.53.37.179,Verizon Fios,Richmond,US,37.516,-77.5005
60.242.172.251,TPG Internet,Redfern,AU,-33.9,151.2
75.176.145.97,Time Warner Cable,Summerville,US,33.0975,-80.1753
78.171.72.35,Turk Telekom,Istanbul,TR,41.0986,29.1979
199.185.67.215,"Edmonton Public School Board, District No. 7",Edmonton,CA,53.4564,-113.521
67.236.77.90,CenturyLink,Franklin,US,39.4835,-86.0478
66.249.84.218,Google,Mountain View,US,37.4192,-122.0574
80.58.250.92,Telefonica De Espana,,ES,40.4,-3.6833
80.58.250.91,Telefonica De Espana,,ES,40.4,-3.6833
80.58.250.90,Telefonica De Espana,,ES,40.4,-3.6833
69.228.115.201,AT&T Internet Services,San Juan Capistrano,US,33.5017,-117.6625
194.154.22.39,RM Education plc,London,GB,51.5144,-0.0941
89.66.65.65,UPC Polska,Krakow,PL,50.0833,19.9167
107.197.77.171,AT&T U-verse,Vacaville,US,38.3507,-121.9326
62.116.201.18,Nianet A/S,Holbaek,DK,55.7135,11.7169
195.210.240.162,Telekom Slovenije d.d.,Ljubljana,SI,46.0553,14.5144
24.156.52.98,Suddenlink Communications,Bullhead City,US,35.09,-114.5736
220.255.4.26,SingNet Pte Ltd,Singapore,SG,1.2931,103.8558
220.255.4.27,SingNet Pte Ltd,Singapore,SG,1.2931,103.8558
75.147.26.205,Comcast Business Communications,Seekonk,US,41.8387,-71.3187
206.214.52.246,Hood Canal Communications,Shelton,US,47.2389,-123.2061
24.75.169.75,Ellijay Telephone Company,Jasper,US,34.461,-84.4278
203.100.3.61,UQConnect,Brisbane,AU,-27.5333,152.9833
99.38.128.104,AT&T U-verse,Canoga Park,US,34.2298,-118.5995
124.74.245.68,China Telecom,Shanghai,CN,31.0456,121.3997
5.234.136.54,Information Technology Company (ITC),,IR,28.5168,53.2773
203.161.148.166,TPG Internet,Keilor,AU,-37.7167,144.8333
187.38.215.33,NET Virtua,SÃ£o Paulo,BR,-23.5475,-46.6361
89.216.76.159,Serbia BroadBand-Srpske Kablovske mreze d.o.o.,,RS,44,21
209.62.195.106,EATEL,Cut Off,US,29.5167,-90.3079
108.231.137.152,AT&T U-verse,Roswell,US,34.056,-84.3795
94.175.151.140,Virgin Media,Chatham,GB,51.3521,0.5337
170.185.40.19,AT&T WorldNet,Catlettsburg,US,38.3092,-82.646
63.156.194.193,CenturyLink,Okinawa,JP,26.3358,127.8014
24.4.27.20,Comcast Cable,Livermore,US,37.5038,-121.5253
67.183.11.61,Comcast Cable,Lynnwood,US,47.8561,-122.2829
207.28.249.82,Iowa Communications Network,Grimes,US,41.6897,-93.7951
87.197.27.201,Slovak Telecom,Strazske,SK,48.8735,21.8367
76.108.217.241,Comcast Cable,Palm Beach Gardens,US,26.8539,-80.1898
41.110.187.86,Telecom Algeria,Algiers,DZ,36.7631,3.0506
111.94.87.176,Fastnet,Jakarta,ID,-6.1744,106.8294
195.171.191.74,BT,Bromsgrove,GB,52.3664,-2.0704
64.56.10.110,EATEL,Gonzales,US,30.2143,-90.9402
66.38.236.91,Bell Canada,Montreal,CA,45.4643,-73.5698
175.156.123.190,M1 LIMITED,Singapore,SG,1.2931,103.8558
24.210.36.160,Time Warner Cable,Columbus,US,39.9213,-83.0331
175.145.135.22,TM Net,Kota Kinabalu,MY,5.9749,116.0724
98.137.207.40,Yahoo!,Sunnyvale,US,37.4249,-122.0074
69.64.109.2,Taunton Municipal Lighting Plant,Taunton,US,41.9113,-71.13
89.138.216.74,013 NetVision,Tel Aviv,IL,32.0667,34.7667
69.140.115.13,Comcast Cable,Montgomery Village,US,39.1752,-77.177
54.224.64.197,Amazon Technologies,Ashburn,US,39.018,-77.539
220.233.218.38,Exetel,Tarneit,AU,-37.8826,144.7003
76.113.170.176,Comcast Cable,Cottage Grove,US,44.8205,-92.9256
182.18.246.27,SKYBroadband SKYCable Corporation,Dumaguete,PH,9.307,123.3074
23.22.18.56,Amazon.com,Ashburn,US,39.018,-77.539
91.207.9.166,PP Andrey Kiselev,,PL,52.2333,21.0167
221.149.131.53,Korea Telecom,Seoul,KR,37.5985,126.9783
104.132.34.97,Google,New York,US,40.7421,-74.0018
87.51.4.226,Tele Danmark,HillerÃ¸d,DK,55.9279,12.3008
206.131.30.93,TIES,Minneapolis,US,45.0636,-93.3789
218.5.66.50,China Telecom,Xiamen,CN,24.4798,118.0819
139.0.179.20,Fastnet,Jakarta,ID,-6.1744,106.8294
213.46.118.242,Chello,Amsterdam,NL,52.35,4.9167
24.95.133.9,Time Warner Cable,Berea,US,37.5742,-84.27
66.249.91.63,Google,Mountain View,US,37.4192,-122.0574
173.48.55.175,Verizon Fios,Tyngsboro,US,42.659,-71.4484
74.90.72.250,Optimum Online,Brooklyn,US,40.6702,-73.8944
201.215.253.204,VTR Banda Ancha S.A.,Santiago,CL,-33.45,-70.6667
198.102.153.1,Sandia National Laboratories,Albuquerque,US,35.0639,-106.4788
122.56.12.22,Spark New Zealand,MOUNT ROSKILL,NZ,-36.9082,174.7302
64.83.182.28,TDS Telecom,Millington,US,43.2584,-83.5446
98.244.120.223,Comcast Cable,Chester,US,37.3398,-77.4586
67.149.178.216,WideOpenWest,Pickerington,US,39.898,-82.7459
70.35.43.162,WiLine Networks,San Francisco,US,37.7749,-122.4194
98.137.206.54,Yahoo!,Sunnyvale,US,37.4249,-122.0074
83.228.6.204,Vivacom,Sofia,BG,42.6833,23.3167
193.40.243.83,Hariduse Infotehnoloogia Sihtasutus,Tallinn,EE,59.4339,24.7281
92.65.246.195,KPN,Soest,NL,52.1733,5.2917
170.24.131.200,Nassau County Board of Cooperative Education Servi,Bellmore,US,40.6726,-73.5364
108.26.30.80,Verizon Fios,Syracuse,US,43.0347,-76.0729
203.153.99.221,PT. Net2Cyber Indonesia,Jakarta,ID,-6.1744,106.8294
50.81.172.55,Mediacom Cable,Savage,US,44.7578,-93.3636
205.127.88.58,Utah Education Network,Salt Lake City,US,40.7002,-111.9434
107.20.101.117,Amazon.com,Ashburn,US,39.018,-77.539
162.104.164.206,CenturyLink,Columbia,US,38.8817,-92.402
50.19.132.26,Amazon.com,Ashburn,US,39.018,-77.539
124.177.3.114,Telstra Internet,,AU,-27,133
66.249.74.154,Googlebot,Mountain View,US,37.4192,-122.0574
162.222.253.20,Ednetics,Moses Lake,US,47.1901,-119.3074
216.3.98.90,XO Communications,Los Angeles,US,34.0498,-118.2111
93.88.216.183,Ussuri-Teleservice,Nakhodka,RU,42.8333,132.8947
93.103.199.88,T-2 Access Network,Celje,SI,46.2361,15.2675
72.215.193.217,Cox Communications,Tempe,US,33.3346,-111.9329
137.117.240.59,Microsoft Corporation,Amsterdam,NL,52.35,4.9167
69.167.206.130,Jackson Energy Authority,Jackson,US,35.5752,-88.8586
54.234.57.195,Amazon Technologies,Ashburn,US,39.018,-77.539
216.162.89.4,Montgomery County Intermediate Unit,Ambler,US,40.1843,-75.2168
58.124.119.158,SK Broadband,Seoul,KR,37.5985,126.9783
195.158.177.117,QSC AG,,DE,51,9
79.174.45.152,VL-Telecom,Odintsovo,RU,55.6008,37.344
207.144.220.3,Spirit Telecom,Lancaster,US,34.7601,-80.693
201.32.136.51,Oi Velox,VitÃ³ria da Conquista,BR,-14.85,-40.85
213.238.175.29,Ihlas Net A.S.,,TR,41.0136,28.955
180.191.77.96,Globe Telecom,,PH,14.5833,120.9667
67.86.159.112,Optimum Online,Brooklyn,US,40.6809,-73.9463
37.48.85.195,LeaseWeb Netherlands B.V.,,NL,52.3667,4.9
203.6.69.2,Australian Defence Organization,Canberra,AU,-35.276,149.1344
107.15.43.165,Time Warner Cable,Durham,US,36.0378,-78.9858
193.236.82.153,"Fundacao para a Ciencia e a Tecnologia, I.P.",Albufeira,PT,37.0957,-8.1873
202.156.10.252,StarHub Cable Vision,Singapore,SG,1.2931,103.8558
188.216.251.147,Vodafone Italia DSL,Conegliano,IT,45.8906,12.2925
202.156.10.250,StarHub Cable Vision,Singapore,SG,1.2931,103.8558
189.50.157.84,PaintWeb Internet Ltda,Lambari,BR,-21.9667,-45.35
84.120.90.81,Vodafone Ono,Alicante,ES,38.3452,-0.4815
103.245.44.14,McAfee,,IN,20,77
46.218.85.101,Completel,Antony,FR,48.7583,2.3056
99.100.108.231,AT&T U-verse,La Crescenta,US,34.2387,-118.2468
189.13.121.202,Oi Velox,Belo Horizonte,BR,-19.9167,-43.9333
174.96.156.26,Time Warner Cable,Columbus,US,40.1018,-83.073
72.182.71.76,Time Warner Cable,Austin,US,30.2058,-97.8002
72.53.152.68,Distributel Communications,Scarborough,CA,43.7946,-79.2644
212.121.220.26,Jisc Services Limited,Stockport,GB,53.4098,-2.1576
64.83.182.12,TDS Telecom,Millington,US,43.2584,-83.5446
99.96.142.113,AT&T Internet Services,Woodward,US,36.4545,-99.417
173.81.25.234,Suddenlink Communications,Vienna,US,39.328,-81.5255
71.163.194.158,Verizon Internet Services,Washington,US,38.8951,-77.0364
96.49.66.11,Shaw Communications,Vancouver,CA,49.262,-123.0923
194.225.61.19,Research Center of Theoretical Physics & Mathemati,Tiran,IR,32.7026,51.1537
37.187.89.77,OVH SAS,,FR,48.86,2.35
70.254.156.122,AT&T Internet Services,Graham,US,33.1177,-98.6869
66.143.47.67,AT&T Internet Services,Kansas City,US,39.2108,-94.6304
50.204.46.76,Comcast Cable,Grayslake,US,42.3316,-88.0545
107.20.76.60,Amazon.com,Ashburn,US,39.018,-77.539
121.211.64.169,Telstra Internet,Sydney,AU,-33.8615,151.2055
90.51.250.40,Orange,Sotteville-lÃ¨s-Rouen,FR,49.4097,1.0901
67.87.115.35,Optimum Online,Croton-on-Hudson,US,41.2153,-73.8716
67.10.240.209,Time Warner Cable,Laredo,US,27.7479,-99.5957
68.222.15.226,AT&T Internet Services,Des Allemands,US,29.8217,-90.4149
202.27.9.30,Tata Communications,,IN,20,77
205.222.248.83,Montgomery County Public Schools,Rockville,US,39.0892,-77.1835
139.194.89.5,Fastnet,Sangereng,ID,-6.1781,106.63
74.87.62.78,Time Warner Cable,'Ewa Beach,US,21.3469,-158.0183
64.56.36.161,Comcast Telecommunications,Dorothy,US,39.4036,-74.8157
151.229.30.165,Sky Broadband,Cleveleys,GB,53.8752,-3.0225
75.110.135.220,Suddenlink Communications,New Bern,US,35.1427,-77.163
205.222.248.88,Montgomery County Public Schools,Rockville,US,39.0892,-77.1835
41.21.134.134,Vodacom-VB,,ZA,-29,24
84.50.65.47,Telia Eesti,Tallinn,EE,59.4339,24.7281
200.74.108.66,VTR Banda Ancha S.A.,ConcepciÃ³n,CL,-36.8333,-73.05
107.204.249.156,AT&T U-verse,Waukesha,US,42.9407,-88.2965
24.63.221.131,Comcast Cable,Plymouth,US,41.8734,-70.6394
66.203.31.52,Miami Valley Educational Computer Association,Yellow Springs,US,39.7949,-83.8873
14.203.125.163,TPG Internet,Melbourne,AU,-37.8139,144.9634
71.227.236.223,Comcast Cable,Bellevue,US,47.6051,-122.1134
